query_id,question_number,source,question,model,ground_truth_sparql,generated_sparql,syntax_ok,returns_results,perfect_match,gt_num_rows,gt_num_cols,gen_num_rows,gen_num_cols,arity_matching_f1,exact_match_f1,entity_set_f1,row_matching_f1,best_subset_column_f1,less_columns_flag,prompt_tokens,completion_tokens,total_tokens
LBNL_001,1,human,"Identify each entity that is a zone, and either has a directly associated property or is indirectly connected to a property via a RoomDomainSpace through a chain of connections.",google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?target ?label ?alc_endpoint ?mpc_endpoint WHERE {
{ ?target a s223:Zone; s223:hasProperty ?prop. }
UNION
{ ?target a s223:Zone; s223:hasDomainSpace ?space .
?space a ex1:RoomDomainSpace ;
s223:connected/s223:connected/s223:contains/s223:hasProperty ?prop . }

?prop a s223:Property;
qudt:hasQuantityKind|s223:hasEnumerationKind ?quantKind;
rdfs:label ?label;
s223:hasExternalReference ?ref .

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint;
ref:writable ""False"" .
}","PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?zone
WHERE {
  # 1) Identify each entity that is a zone (using property path for subclasses)
  ?zone a/rdfs:subClassOf* s223:Zone .

  {
    # 2a) Directly associated property
    ?zone s223:hasProperty ?property .
  }
  UNION
  {
    # 2b) Indirectly connected via a DomainSpace
    # In the provided graph, ex1:RoomDomainSpace is used as a class for instances like ex1:02004
    ?zone s223:hasDomainSpace ?space .
    ?space a/rdfs:subClassOf* s223:DomainSpace .
    
    # Optimization: Instead of a deep recursive path, we look for properties 
    # associated with the space itself or equipment contained within it.
    {
      ?space s223:hasProperty ?property .
    }
    UNION
    {
      ?space s223:contains ?equipment .
      ?equipment s223:hasProperty ?property .
    }
    UNION
    {
      # Handle the specific connection logic seen in the graph where spaces 
      # are connected to equipment (like UFTs) which then have properties.
      ?space s223:connected ?equipment .
      ?equipment s223:hasProperty ?property .
    }
  }
  
  # Ensure the property is a valid s223:Property
  ?property a/rdfs:subClassOf* s223:Property .
}",True,True,False,354,4,51,1,0.4,0.0,0.0,0.0,0.25,True,292757,1713,294470
LBNL_001,2,human,"For each zone (target), what are the related non-writable property labels and ALC and MPC endpoint references?",google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?target ?label ?alc_endpoint ?mpc_endpoint WHERE {
{ ?target a s223:Zone; s223:hasProperty ?prop. }
UNION
{ ?target a s223:Zone; s223:hasDomainSpace ?space .
?space a ex1:RoomDomainSpace ;
s223:connected/s223:connected/s223:contains/s223:hasProperty ?prop . }

?prop a s223:Property;
qudt:hasQuantityKind|s223:hasEnumerationKind ?quantKind;
rdfs:label ?label;
s223:hasExternalReference ?ref .

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint;
ref:writable ""False"" .
}","PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT DISTINCT ?zone ?propertyLabel ?endpoint ?mpc_db
WHERE {
  # Identify the Zone
  ?zone a ?zoneType .
  FILTER(?zoneType IN (s223:Zone, <http://data.ashrae.org/standard223/si-builder#HVACZone>))

  # Properties can be associated with the Zone directly or via its DomainSpace
  { ?zone s223:hasProperty ?prop . }
  UNION
  { ?zone s223:hasDomainSpace ?ds . ?ds s223:hasProperty ?prop . }

  ?prop rdfs:label ?propertyLabel .
  ?prop s223:hasExternalReference ?extRef .

  # Filter for non-writable properties based on the provided graph's literal usage
  ?extRef ref:writable ?writable .
  FILTER(STR(?writable) = ""False"" || ?writable = false)

  # Extract the specific endpoint and database references provided in the graph
  OPTIONAL { ?extRef ref:endpoint ?endpoint . }
  OPTIONAL { ?extRef ref:mpc_db_name ?mpc_db . }
}",True,True,False,354,4,260,4,1.0,0.8469055374592833,0.9284885968303054,0.8469055374592833,0.9264964788732395,False,291868,1404,293272
LBNL_001,3,LLM_1,"For each Zone that either has a Property directly or has a RoomDomainSpace reached by two connected steps and a contains relationship leading to a Property, what is the label of that Property and what are the external reference alc endpoint and mpc endpoint when writable is False?",google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?target ?label ?alc_endpoint ?mpc_endpoint WHERE {
{ ?target a s223:Zone; s223:hasProperty ?prop. }
UNION
{ ?target a s223:Zone; s223:hasDomainSpace ?space .
?space a ex1:RoomDomainSpace ;
s223:connected/s223:connected/s223:contains/s223:hasProperty ?prop . }

?prop a s223:Property;
qudt:hasQuantityKind|s223:hasEnumerationKind ?quantKind;
rdfs:label ?label;
s223:hasExternalReference ?ref .

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint;
ref:writable ""False"" .
}","PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>

SELECT DISTINCT ?zone ?propLabel ?alcEndpoint ?mpcEndpoint
WHERE {
  ?zone a s223:Zone .

  {
    # Case 1: Zone has a Property directly
    ?zone s223:hasProperty ?prop .
  }
  UNION
  {
    # Case 2: Zone reached by two connected steps to a RoomDomainSpace containing a Property
    # Using the specific example class ex1:RoomDomainSpace as per the graph structure
    ?zone s223:connectedTo/s223:connectedTo ?roomSpace .
    ?roomSpace a ex1:RoomDomainSpace .
    ?roomSpace s223:contains ?prop .
  }

  ?prop a s223:Property .
  ?prop rdfs:label ?propLabel .

  # Navigate to the external reference
  ?prop s223:hasExternalReference ?extRef .

  # Filter for writable is False
  ?extRef ref:writable ""False"" .

  # Extract the specific metadata keys for ALC and MPC endpoints
  OPTIONAL { ?extRef ref:endpoint ?alcEndpoint . }
  OPTIONAL { ?extRef ref:mpc_db_name ?mpcEndpoint . }
}",True,True,False,354,4,260,4,1.0,0.8469055374592833,0.9284885968303054,0.8469055374592833,0.9264964788732395,False,292903,1843,294746
LBNL_001,4,LLM_2,"Which properties associated with building zones (including those linked through room domain spaces and chained connections) are read-only, and what are their labels together with the alc and mpc endpoints in their external references?",google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?target ?label ?alc_endpoint ?mpc_endpoint WHERE {
{ ?target a s223:Zone; s223:hasProperty ?prop. }
UNION
{ ?target a s223:Zone; s223:hasDomainSpace ?space .
?space a ex1:RoomDomainSpace ;
s223:connected/s223:connected/s223:contains/s223:hasProperty ?prop . }

?prop a s223:Property;
qudt:hasQuantityKind|s223:hasEnumerationKind ?quantKind;
rdfs:label ?label;
s223:hasExternalReference ?ref .

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint;
ref:writable ""False"" .
}","PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ref: <https://brickschema.org/schema/Brick/>

SELECT DISTINCT ?property ?label ?endpoint ?mpc_db_name
WHERE {
  # Identify building zones (ASHRAE 223p Zone or subclasses)
  ?zone a/rdfs:subClassOf* s223:Zone .

  # Find properties associated with zones directly or through domain spaces
  {
    ?zone s223:hasProperty ?rootProperty .
  } UNION {
    ?zone s223:hasDomainSpace ?space .
    ?space s223:hasProperty ?rootProperty .
  }

  # Handle chained internal references (nested properties) using property path
  ?rootProperty s223:hasInternalReference* ?property .
  ?property a s223:Property .

  # Get the label of the property
  ?property rdfs:label ?label .

  # Look for external references associated with these properties
  ?property s223:hasExternalReference ?extRef .

  # Filter for read-only properties based on the provided graph's metadata
  # Note: The provided graph uses ref:writable ""False"" on the reference objects
  ?extRef ref:writable ""False"" .

  # Retrieve ALC (endpoint) and MPC (mpc_db_name) metadata from the reference
  OPTIONAL { ?extRef ref:endpoint ?endpoint . }
  OPTIONAL { ?extRef ref:mpc_db_name ?mpc_db_name . }
}",True,True,False,354,4,260,4,1.0,0.0,0.6767423442449841,0.0,0.6764964788732395,False,292791,1719,294510
LBNL_001,5,LLM_3,List the labels of all non-writable properties for zones and show the corresponding alc endpoint and mpc database endpoint for each.,google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?target ?label ?alc_endpoint ?mpc_endpoint WHERE {
{ ?target a s223:Zone; s223:hasProperty ?prop. }
UNION
{ ?target a s223:Zone; s223:hasDomainSpace ?space .
?space a ex1:RoomDomainSpace ;
s223:connected/s223:connected/s223:contains/s223:hasProperty ?prop . }

?prop a s223:Property;
qudt:hasQuantityKind|s223:hasEnumerationKind ?quantKind;
rdfs:label ?label;
s223:hasExternalReference ?ref .

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint;
ref:writable ""False"" .
}","PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT ?propertyLabel ?alcEndpoint ?mpcDatabaseEndpoint
WHERE {
  # Identify the Zone (using s223:Zone or bob:HVACZone which is used in the graph)
  ?zone a ?zoneType .
  FILTER(?zoneType IN (s223:Zone, <http://data.ashrae.org/standard223/si-builder#HVACZone>))

  # Link Zone to Property
  ?zone s223:hasProperty ?property .
  ?property rdfs:label ?propertyLabel .

  # Link Property to External Reference
  ?property s223:hasExternalReference ?extRef .

  # Filter for non-writable properties
  # Based on the provided Turtle, writable is stored as a string ""False""
  ?extRef ref:writable ""False"" .

  # Extract the ALC endpoint and MPC database name
  ?extRef ref:endpoint ?alcEndpoint .
  ?extRef ref:mpc_db_name ?mpcDatabaseEndpoint .
}",True,True,False,354,4,520,3,0.8571428571428571,0.0,0.0,0.0,0.6764964788732395,True,194321,914,195235
LBNL_001,6,LLM_4,What alc and mpc endpoints are defined for the read-only properties of each zone?,google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?target ?label ?alc_endpoint ?mpc_endpoint WHERE {
{ ?target a s223:Zone; s223:hasProperty ?prop. }
UNION
{ ?target a s223:Zone; s223:hasDomainSpace ?space .
?space a ex1:RoomDomainSpace ;
s223:connected/s223:connected/s223:contains/s223:hasProperty ?prop . }

?prop a s223:Property;
qudt:hasQuantityKind|s223:hasEnumerationKind ?quantKind;
rdfs:label ?label;
s223:hasExternalReference ?ref .

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint;
ref:writable ""False"" .
}","PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT DISTINCT ?zone ?property ?alc_endpoint ?mpc_db_name
WHERE {
  # Identify zones (HVACZone or Zone)
  ?zone a ?zoneType .
  FILTER(?zoneType IN (s223:Zone, <http://data.ashrae.org/standard223/si-builder#HVACZone>))

  # Find properties associated with the zone
  ?zone s223:hasProperty ?property .

  # Link to external references
  ?property s223:hasExternalReference ?extRef .

  # Filter for read-only properties based on the provided graph's data structure
  # The graph uses ref:writable ""False"" as a string literal
  ?extRef ref:writable ""False"" .

  # Extract the specific metadata requested
  OPTIONAL { ?extRef ref:endpoint ?alc_endpoint . }
  OPTIONAL { ?extRef ref:mpc_db_name ?mpc_db_name . }
}",True,True,False,354,4,260,4,1.0,0.0,0.708904109589041,0.0,0.7077464788732395,False,194201,885,195086
LBNL_001,7,LLM_5,How can I find the alc and mpc endpoints for zone properties that aren't editable?,google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?target ?label ?alc_endpoint ?mpc_endpoint WHERE {
{ ?target a s223:Zone; s223:hasProperty ?prop. }
UNION
{ ?target a s223:Zone; s223:hasDomainSpace ?space .
?space a ex1:RoomDomainSpace ;
s223:connected/s223:connected/s223:contains/s223:hasProperty ?prop . }

?prop a s223:Property;
qudt:hasQuantityKind|s223:hasEnumerationKind ?quantKind;
rdfs:label ?label;
s223:hasExternalReference ?ref .

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint;
ref:writable ""False"" .
}","PREFIX bob: <http://data.ashrae.org/standard223/si-builder#>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?zone ?property ?alc_endpoint ?mpc_db_name
WHERE {
  # Identify zones using s223:Zone or its si-builder subclass bob:HVACZone
  ?zone a ?zoneType .
  ?zoneType rdfs:subClassOf* s223:Zone .

  # Find properties associated with the zone
  ?zone s223:hasProperty ?property .

  # Link to external references (ALC/MPC metadata)
  ?property s223:hasExternalReference ?extRef .

  # Filter for non-editable properties
  # Based on the provided Turtle, ref:writable is stored as a string ""False""
  ?extRef ref:writable ""False"" .

  # Extract the specific ALC and MPC identifiers
  OPTIONAL { ?extRef ref:endpoint ?alc_endpoint . }
  OPTIONAL { ?extRef ref:mpc_db_name ?mpc_db_name . }
}",True,True,False,354,4,260,4,1.0,0.0,0.708904109589041,0.0,0.7077464788732395,False,194172,852,195024
LBNL_002,1,human,"Identify each entity that is an AHU, and either has a directly associated property or is indirectly connected to a property via a connectable.",google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?targetLabel ?label ?alc_endpoint ?mpc_endpoint WHERE {
?target a s223:AirHandlingUnit;
rdfs:label ?targetLabel.
{
?target s223:contains ?connectable.

?connectable (s223:observes | s223:hasProperty) ?prop .
}
UNION
{
?target s223:hasProperty ?prop .
}

?prop a s223:Property;
rdfs:label ?label;
s223:hasExternalReference ?ref.

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint ;
ref:writable ""False"" .

FILTER(CONTAINS(LCASE(?targetLabel), ""rtu""))

}","PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?ahu
WHERE {
  # Identify AHUs using the class hierarchy
  ?ahu rdf:type/rdfs:subClassOf* s223:AirHandlingUnit .

  {
    # Directly associated property
    ?ahu s223:hasProperty ?property .
  }
  UNION
  {
    # Indirectly connected to a property via a connectable
    # Using the cnx symmetric relation to traverse the connection path
    # Equipment -> ConnectionPoint -> Connection -> ConnectionPoint -> Equipment
    ?ahu s223:cnx+ ?connectable .
    ?connectable a s223:Connectable .
    ?connectable s223:hasProperty ?property .
  }

  # Ensure the target is indeed a Property
  ?property rdf:type/rdfs:subClassOf* s223:Property .
}",True,True,False,118,4,4,1,0.4,0.0,0.0,0.0,0.0,True,194241,851,195092
LBNL_002,2,human,"For each Air Handling Unit (AHU) whose label includes 'RTU', what are the related non-writable property labels and ALC and MPC endpoint references?",google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?targetLabel ?label ?alc_endpoint ?mpc_endpoint WHERE {
?target a s223:AirHandlingUnit;
rdfs:label ?targetLabel.
{
?target s223:contains ?connectable.

?connectable (s223:observes | s223:hasProperty) ?prop .
}
UNION
{
?target s223:hasProperty ?prop .
}

?prop a s223:Property;
rdfs:label ?label;
s223:hasExternalReference ?ref.

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint ;
ref:writable ""False"" .

FILTER(CONTAINS(LCASE(?targetLabel), ""rtu""))

}","PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT DISTINCT ?ahuLabel ?propertyLabel ?alcEndpoint ?mpcEndpoint
WHERE {
  # Identify Equipment (AHU/RTU) with 'RTU' in the label
  ?ahu a s223:Equipment ;
       rdfs:label ?ahuLabel .
  FILTER(CONTAINS(?ahuLabel, ""RTU""))

  # Find properties associated with the AHU
  ?ahu s223:hasProperty ?property .
  ?property a s223:Property ;
            rdfs:label ?propertyLabel .

  # Find external references linked to the property
  ?property s223:hasExternalReference ?extRef .

  # Filter for non-writable properties
  # Based on the provided graph, writability is stored as a string ""False""
  ?extRef ref:writable ""False"" .

  # Extract ALC (endpoint) and MPC (mpc_db_name) references
  # These are custom predicates defined in the provided Turtle graph
  OPTIONAL { ?extRef ref:endpoint ?alcEndpoint . }
  OPTIONAL { ?extRef ref:mpc_db_name ?mpcEndpoint . }
}",False,False,False,118,4,0,0,0.0,0.0,0.0,0.0,0.0,False,292421,1620,294041
LBNL_002,3,LLM_1,"For each air handling unit whose label contains rtu, identify any connectable element it contains that observes or has property a property, or any property it has directly, and for each property give its label along with the ALC endpoint and the MPC database name from its external reference",google/gemini-flash,"PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ex1: <http://data.ashrae.org/standard223/data/lbnl-example-2#>
PREFIX qudt: <http://qudt.org/schema/qudt/>
PREFIX ref: <https://brickschema.org/schema/Brick/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX quantitykind: <http://qudt.org/vocab/quantitykind/>

SELECT DISTINCT ?targetLabel ?label ?alc_endpoint ?mpc_endpoint WHERE {
?target a s223:AirHandlingUnit;
rdfs:label ?targetLabel.
{
?target s223:contains ?connectable.

?connectable (s223:observes | s223:hasProperty) ?prop .
}
UNION
{
?target s223:hasProperty ?prop .
}

?prop a s223:Property;
rdfs:label ?label;
s223:hasExternalReference ?ref.

?ref ref:endpoint ?alc_endpoint;
ref:mpc_db_name ?mpc_endpoint ;
ref:writable ""False"" .

FILTER(CONTAINS(LCASE(?targetLabel), ""rtu""))

}","PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX s223: <http://data.ashrae.org/standard223#>
PREFIX ref: <https://brickschema.org/schema/Brick/>

SELECT DISTINCT ?rtu ?rtuLabel ?element ?property ?propertyLabel ?endpoint ?mpcName
WHERE {
  # 1. Find Equipment with 'rtu' in the label
  ?rtu a s223:Equipment ;
       rdfs:label ?rtuLabel .
  FILTER(CONTAINS(LCASE(STR(?rtuLabel)), ""rtu""))

  # 2. Identify properties: either directly on the RTU or on connectables it contains
  {
    ?rtu s223:hasProperty ?property .
    BIND(?rtu AS ?element)
  }
  UNION
  {
    ?rtu s223:contains ?element .
    ?element a s223:Connectable .
    { ?element s223:observes ?property . }
    UNION
    { ?element s223:hasProperty ?property . }
  }

  # 3. Get property metadata
  ?property rdfs:label ?propertyLabel .

  # 4. Navigate to External Reference to find ALC endpoint and MPC DB name
  # Based on the provided graph, ref:endpoint and ref:mpc_db_name are on the ExternalReference node
  ?property s223:hasExternalReference ?extRef .

  OPTIONAL { ?extRef ref:endpoint ?endpoint . }
  OPTIONAL { ?extRef ref:mpc_db_name ?mpcName . }
}",True,True,False,118,4,186,7,0.7272727272727273,0.0,0.8750000000000001,0.7763157894736843,0.8670401263717435,False,194650,1090,195740
