query_id,question_number,question,model,failure_category,failure_evidence,secondary_category
MORTAR_001,,What are the brick points in this graph?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked ""What are the brick points in this graph?"" expecting a list of point entities and their Brick class types. The ground-truth query returns ?point and its point type via rdf:type/subClassOf*. The generated query instead retrieves an optional rdfs:label and does not return the point type, indicating a misinterpretation of the request (label vs. type).",
MORTAR_001,,Can you find nodes that has information about an external reference?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for nodes that have information about an external reference, and the model generated a query using the (potentially non‑existent) predicate `brref:hasExternalReference`. However, the ground‑truth query expected by the evaluation retrieves Brick points (`?point rdf:type/rdfs:subClassOf* brick:Point`). The generated query focuses on an entirely different concept (external references) rather than selecting Brick points, indicating the model misinterpreted the intended task.",
MORTAR_001,,What points does this graph have?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the non‑existent predicate `brick:hasTag` and the tag class `bricktag:Point` (e.g., `?point brick:hasTag bricktag:Point .`). The Brick ontology does not define a `hasTag` property nor a `bricktag:Point` class; the correct approach is to retrieve instances whose rdf:type is a subclass of `brick:Point` as shown in the ground‑truth query (`?point rdf:type/rdfs:subClassOf* brick:Point`). This mismatch indicates the model fabricated vocabulary terms.",
MORTAR_001,,What data sources I have in my system?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked ""What data sources I have in my system?"" which, according to the ground‑truth, should be answered by listing all Brick points and their types (SELECT ?point ?point_type ...). Instead, the model generated a query that looks for external references and timeseries IDs (SELECT DISTINCT ?ts WHERE { ?entity <https://brickschema.org/schema/Brick/ref#hasExternalReference> ?ref . ?ref <https://brickschema.org/schema/Brick/ref#hasTimeseriesId> ?ts . }). This query addresses a different concept (external references) and therefore does not satisfy the user's intent.",
MORTAR_001,,Which entities that are instances of Point (including its subclasses) have which types?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for ""entities that are instances of Point (including its subclasses) have which types"". The ground‑truth query uses a property path `rdf:type/rdfs:subClassOf* brick:Point` to first identify any entity whose type (direct or indirect) falls under Brick:Point, then separately retrieves the entity's concrete type (`?point_type`). The generated query instead binds the entity's direct type first (`?entity rdf:type ?type`) and then filters that type with `?type rdfs:subClassOf* brick:Point`. This formulation can miss entities whose type is an indirect subclass of a subclass of Point, and it does not follow the intended two‑step logic of the question, showing a misunderstanding of the user's intent.",
MORTAR_001,,What point entities exist and what types are they assigned?,lbl/cborg-coder,Misunderstanding User Intent,"User query: ""What point entities exist and what types are they assigned?"" expects each point and its directly assigned Brick class (including indirect subclassing via rdf:type/rdfs:subClassOf*). Ground‑truth query uses a property path `rdf:type/rdfs:subClassOf* brick:Point` to first ensure the entity is a point, then selects the explicit type with `?point rdf:type ?point_type`. Generated query instead selects any `?type` that is a subclass of `brick:Point` and binds it to `?point rdf:type ?type`. This returns the superclass hierarchy rather than the actual type assigned to the point, showing the model misinterpreted the precise intent of returning the point's assigned type.",
MORTAR_001,,List all measurement points along with their categories.,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for all measurement points and their categories. The generated query forces each point to have a direct rdf:type triple `?point a brick:Point` and then filters subclasses, which excludes points that are instances of subclasses of Point. The correct pattern in the ground truth uses `rdf:type/rdfs:subClassOf* brick:Point` to capture both direct and indirect typing. This mismatch shows the model misinterpreted how to retrieve all points as intended.",
MORTAR_001,,What data points are defined in the building model and how are they classified?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for the data points defined in the building model and how they are classified. The ground‑truth query returns each point instance and its specific Brick subclass (SELECT ?point ?point_type ...). The generated query instead aggregates counts per point class (SELECT ?pointClass (COUNT(?point) AS ?count) ...) and does not provide the list of points or their classifications, showing the model misinterpreted the intent.",
MORTAR_001,,Which data points does the system include and how are they grouped?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for the data points included and how they are grouped. The ground‑truth query returns each point and its type (SELECT ?point ?point_type …). The generated query aggregates by point class and returns a count (SELECT ?pointClass (COUNT(?point) AS ?count) … GROUP BY ?pointClass), indicating the model interpreted the request as a summary rather than listing individual points, which misinterprets the user's intent.",
MORTAR_002,,Find all equipment and its points that are Zone Air Temperature Setpoints,lbl/cborg-coder,Topological Mismatch,"The generated query asserts `?setpoint a brick:Zone_Air_Temperature_Setpoint` which only matches individuals that are directly typed as that class. The ground‑truth query uses `?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint` to traverse the subclass hierarchy, ensuring that any point that is a subclass of the setpoint class is included. By omitting the subclass traversal the model assumes a direct relationship that may not exist in the graph, leading to incomplete results.",
MORTAR_002,,What equipment has setpoints for zone air temperature and what are they?,lbl/cborg-coder,Topological Mismatch,"The generated query assumes that every setpoint is directly linked to equipment via `brick:hasPoint` (`?equipment brick:hasPoint ?setpoint`). The ground‑truth query accounts for both directions (`brick:hasPoint` and `brick:isPointOf`) and also traverses the subclass hierarchy (`rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint`). By omitting these alternatives, the generated query may miss setpoints that are connected via `brick:isPointOf` or that are instances of subclasses of `brick:Zone_Air_Temperature_Setpoint`, indicating a mismatch between the actual graph topology and the assumed one.",
MORTAR_002,,What are the Zone Air Temperature Setpoints and the equipment they belong to?,lbl/cborg-coder,Topological Mismatch,"The generated query only uses the direct triple `?equipment brick:hasPoint ?setpoint` to relate equipment to the setpoint. In many Brick graphs the relationship can also be expressed via the inverse property `brick:isPointOf` (or other indirect paths). By assuming a direct hasPoint edge, the query may miss equipment that are linked via the inverse relation, a classic topological mismatch.",
MORTAR_002,,Which equipment regulates the air temperature in rooms,lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct link between a temperature setpoint point and a room ( ?sp brick:isPointOf ?room . ?room a brick:Room ) and then connects that point to any brick:Equipment. The ground‑truth query instead looks for points that are subclasses of brick:Zone_Air_Temperature_Setpoint and then finds the equipment that has those points, reflecting the typical indirect topology (Room → VAV/AHU → Equipment). By forcing a direct Room‑Point relationship the model misrepresents the graph structure.",
MORTAR_002,,"For each point that is a zone air temperature setpoint, which equipment has that point?",lbl/cborg-coder,Topological Mismatch,"The generated query asserts `?setpoint a brick:Zone_Air_Temperature_Setpoint` assuming a direct rdf:type relationship, while the ground‑truth query uses `?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint` to capture points that are subclasses of the setpoint class. This reflects a mismatch in the graph topology – the model ignored the need to traverse subclass relationships.",
