query_id,question_number,question,model,failure_category,failure_evidence,secondary_category
LBNL_001,,"Identify each entity that is a zone, and either has a directly associated property or is indirectly connected to a property via a RoomDomainSpace through a chain of connections.",lbl/cborg-coder,Vocabulary Hallucination,"The generated query references `r223:RoomDomainSpace` as a class, but the ground‑truth query shows the correct class resides in the example namespace (`ex1:RoomDomainSpace`). The term `r223:RoomDomainSpace` does not exist in the standard223 ontology, indicating an invented vocabulary term. Additionally, the query uses a long list of connection predicates (`r223:connected`, `r223:connectedTo`, `r223:connectedFrom`, `r223:connectsThrough`, `r223:connectsAt`, `r223:connectsFrom`, `r223:connectsTo`) that are not defined in the standard, further evidencing vocabulary hallucination.",
LBNL_001,,"For each zone (target), what are the related non-writable property labels and ALC and MPC endpoint references?",lbl/cborg-coder,Vocabulary Hallucination,"The generated query invents Brick‑specific terms that do not exist in the target dataset: it uses `brick:Zone`, `brick:writable false`, `brick:hasALCEndpoint` and `brick:hasMPCEndpoint`. The ground‑truth query relies on the s223 and ref vocabularies (`s223:Zone`, `s223:Property`, `ref:endpoint`, `ref:mpc_db_name`, `ref:writable ""False""`). These mismatched predicates and classes show the model fabricated ontology terms rather than using the correct ones.",Topological Mismatch
LBNL_001,,"For each Zone that either has a Property directly or has a RoomDomainSpace reached by two connected steps and a contains relationship leading to a Property, what is the label of that Property and what are the external reference alc endpoint and mpc endpoint when writable is False?",lbl/cborg-coder,Topological Mismatch,"The generated query attempts to traverse exactly two 'ashrae:connected' edges using the unsupported SPARQL repetition syntax `(ashrae:connected){2}` and then directly accesses the Property via `ashrae:contains`. The ground‑truth query expresses the indirect path as `ashrae:connected/ashrae:connected/ashrae:contains/ashrae:hasProperty`, i.e., a three‑step chain that includes a `hasProperty` relationship after the `contains`. The generated pattern both mis‑represents the topology (omits the `hasProperty` step) and uses a syntactically invalid way to denote two hops, leading to a mismatch with the actual graph structure.",
LBNL_001,,"Which properties associated with building zones (including those linked through room domain spaces and chained connections) are read-only, and what are their labels together with the alc and mpc endpoints in their external references?",lbl/cborg-coder,Topological Mismatch,"The generated query uses a generic property path `{ ?zone (ash:connectedThrough|ash:connectedTo|ash:connectedFrom|ash:connectsThrough|ash:connectsFrom|ash:connectsTo|ash:connectsAt|ash:cnx)* ?property . ?property a ash:Property . }` which assumes a property can be reached directly via any sequence of connection predicates. The ground‑truth query shows that properties are linked through a specific `ash:hasProperty` edge (e.g., `?zone ash:hasProperty ?prop` or via `... ash:connected/... ash:contains/... ash:hasProperty ?prop`). Thus the generated query mismatches the actual graph topology, leading to no results. ",
LBNL_001,,List the labels of all non-writable properties for zones and show the corresponding alc endpoint and mpc database endpoint for each.,lbl/cborg-coder,Topological Mismatch,"The generated query assumes that a Zone directly has its properties via the triple `?zone std223:hasProperty ?prop`. The ground‑truth query shows that many zone properties are reached indirectly through a DomainSpace chain (e.g., `?zone s223:hasDomainSpace ?space . ?space ... s223:hasProperty ?prop`). By omitting this indirect path the model misses a large portion of relevant properties, indicating a mismatch in graph topology.",
LBNL_001,,What alc and mpc endpoints are defined for the read-only properties of each zone?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses non‑existent Brick predicates: `https://brickschema.org/schema/Brick/endpoint` instead of the correct `brick:hasEndpoint`, `https://brickschema.org/schema/Brick/mpc_db_name` instead of `brick:hasMpcDbName`, and `https://brickschema.org/schema/Brick/writable` instead of `brick:writable`. These IRIs are not defined in the Brick ontology, leading to zero results.",
LBNL_001,,How can I find the alc and mpc endpoints for zone properties that aren't editable?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses a made‑up namespace and terms such as `ex:Zone`, `ex:ZoneProperty`, `ex:isEditable`, `ex:alcEndpoint`, and `ex:mpcEndpoint`. The ground‑truth query relies on the official s223 and Brick vocabularies (`s223:Zone`, `s223:hasProperty`, `s223:hasExternalReference`, `ref:endpoint`, `ref:mpc_db_name`, `ref:writable`). The model substituted the correct ontology terms with invented ones, indicating a vocabulary hallucination.",
LBNL_002,,"Identify each entity that is an AHU, and either has a directly associated property or is indirectly connected to a property via a connectable.",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct `s223:hasConnectionPoint` relationship from an AHU to a connectable and then `s223:hasProperty` on that connectable. The ground‑truth query reaches a connectable via `s223:contains` and then uses either `s223:observes` or `s223:hasProperty` to obtain the property. Hence the model selected an incorrect topology (direct hasConnectionPoint) and omitted the alternative `observes` path, resulting in a graph traversal that does not match the actual schema used in the dataset.",
LBNL_002,,"For each Air Handling Unit (AHU) whose label includes 'RTU', what are the related non-writable property labels and ALC and MPC endpoint references?",lbl/cborg-coder,Topological Mismatch,"The generated query directly uses `?ahu <http://data.ashrae.org/standard223#hasProperty> ?prop` to reach properties, but the ground truth shows properties are accessed via an intermediate connectable (e.g., `?target s223:contains ?connectable` then `(s223:observes | s223:hasProperty) ?prop`) or via a UNION with direct `s223:hasProperty`. This mismatch in graph topology causes the query to miss required hops and return no rows.",
LBNL_002,,"For each air handling unit whose label contains rtu, identify any connectable element it contains that observes or has property a property, or any property it has directly, and for each property give its label along with the ALC endpoint and the MPC database name from its external reference",lbl/cborg-coder,Misunderstanding User Intent,"The generated query binds an empty string to ?connectableLabel for direct AHU properties (BIND("""" AS ?connectableLabel)), resulting in no label for those rows, whereas the expected behavior is to use the AHU's label (or otherwise indicate the property belongs to the AHU). This shows the model mis‑interpreted the requirement to provide a meaningful label for direct properties. Additionally, the query does not collapse the two property patterns into a single path expression nor use DISTINCT, leading to duplicate rows, further indicating a mismatch between the user's intent and the produced query.",
